高管姓名，性别，年龄，股票代码，职位
南存辉，男，55，601877，董事长,董事
赖云来，男，60，603076，董事长,董事
朱斌，男，50，603030，董事长,董事
郭天明，男，54，603026，董事长,董事
郑建军，男，68，603025，董事长,董事
方同华，男，55，603567，董事长,董事
张许科，男，55，603566，董事长,董事
张茂义，男，55，603558，董事长,董事
林天福，男，56，603555，董事长,董事
庆九，男，49，603968，董事长,董事
高毅，男，50，603939，董事长,董事
金国培，男，55，603918，董事长,董事
施良才，男，56，603917，董事长,董事
朱连宇，男，48，900947，董事长,董事
黄毅，男，56，900946，董事长,董事
包启发，男，54，900945，董事长,董事
王强，男，60，900943，董事长,董事
于爱新，男，55，900957，董事长,董事
朱金明，男，54，900956，董事长,董事
郭亚军，男，62，900955，董事长,董事
李颜章，男，56，900953，董事长,董事
徐健，男，53，900952，董事长,董事
刘平芹，男，54，900951，董事长,董事
张东海，男，48，900948，董事长,执行董事
章德辉，男，50，900942，董事长,董事
周忠国，男，51，900941，董事长,董事
俞培俤，男，59，900940，董事局主席,董事
程光，男，60，900939，董事长,董事
童甫，男，36，900938，董事长,董事
董凤亮，男，46，900937，董事长,董事
王臻，女，38，900936，董事长,董事
李建勇，男，62，900935，董事长,董事
俞敏亮，男，61，900934，董事长,董事
徐永模，男，62，900933，董事长,董事
李晋昭，男，56，900932，董事长,董事
徐千，男，56，900930，董事长,董事
邵晓明，男，60，900929，董事长,董事
袁国华，男，52，900928，董事长,董事
秦青林，男，56，900927，董事长,董事
夏雪松，男，48，900926，董事长,董事
陈嘉明，男，56，900925，董事长,董事
张敏，男，56，900924，董事长,董事
叶永明，男，54，900923，董事长,董事
邹宁，男，49，900922，董事长,董事
王斌，男，51，900921，董事长,董事
蓝青松，男，53，900920，董事长,董事
俞乃奋，女，53，900919，荣誉董事长
赵健，男，47，900918，董事长,董事
孟文波，男，46，900917，董事长,董事
周卫中，男，48，900916，董事长,董事
陈闪，男，31，900915，董事长,董事
邵晓明，男，60，900914，董事长,董事
刘军，男，51，900913，董事长,董事
刘宏，男，56，900912，董事长,董事
王颖，女，52，900911，代董事长,副董事长,董事
董鑑华，男，53，900910，董事长,董事
